table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja,"京都市交通局",2000020261009,,
agency,agency_name,ja-Hrkt,"きょうとしこうつうきょく",2000020261009,,
agency,agency_name,en,"Kyoto City Bus / Kyoto Municipal Transportation Bureau",2000020261009,,
feed_info,feed_publisher_name,ja,"京都市交通局",,,京都市交通局
feed_info,feed_publisher_name,ja-Hrkt,"きょうとしこうつうきょく",,,京都市交通局
feed_info,feed_publisher_name,en,"Kyoto Municipal Transportation Bureau",,,京都市交通局
routes,route_short_name,ja,"市バス１",00100,,
routes,route_short_name,en,"1 City Bus",00100,,
routes,route_short_name,ja,"市バス上終町３",00302,,
routes,route_short_name,en,"上終町3 City Bus",00302,,
routes,route_short_name,ja,"市バス４",00400,,
routes,route_short_name,en,"4 City Bus",00400,,
routes,route_short_name,ja,"市バス松ヶ崎４",00403,,
routes,route_short_name,en,"松ヶ崎4 City Bus",00403,,
routes,route_short_name,ja,"かわらまち・よるバス",00404,,
routes,route_short_name,en,"Kawaramachi Night Bus (City Bus)",00404,,
routes,route_short_name,ja,"市バス５",00500,,
routes,route_short_name,en,"5 City Bus",00500,,
routes,route_short_name,ja,"市バス五条通５",00503,,
routes,route_short_name,en,"五条通5 City Bus",00503,,
routes,route_short_name,ja,"市バス快速５",00525,,
routes,route_short_name,en,"快速Rapid 5 City Bus",00525,,
routes,route_short_name,ja,"市バス６",00600,,
routes,route_short_name,en,"6 City Bus",00600,,
routes,route_short_name,ja,"市バス快速６",00684,,
routes,route_short_name,en,"快速Rapid 6 City Bus",00684,,
routes,route_short_name,ja,"市バス７",00700,,
routes,route_short_name,en,"7 City Bus",00700,,
routes,route_short_name,ja,"市バス８",00800,,
routes,route_short_name,en,"8 City Bus",00800,,
routes,route_short_name,ja,"市バス特８",00803,,
routes,route_short_name,en,"特8(T8) City Bus",00803,,
routes,route_short_name,ja,"市バス９",00900,,
routes,route_short_name,en,"9 City Bus",00900,,
routes,route_short_name,ja,"市バス快速９",00985,,
routes,route_short_name,en,"快速Rapid 9 City Bus",00985,,
routes,route_short_name,ja,"市バス１０",01000,,
routes,route_short_name,en,"10 City Bus",01000,,
routes,route_short_name,ja,"市バス１１",01100,,
routes,route_short_name,en,"11 City Bus",01100,,
routes,route_short_name,ja,"市バス１２",01200,,
routes,route_short_name,en,"12 City Bus",01200,,
routes,route_short_name,ja,"市バス１３",01300,,
routes,route_short_name,en,"13 City Bus",01300,,
routes,route_short_name,ja,"市バス特１３",01303,,
routes,route_short_name,en,"特13(T13) City Bus",01303,,
routes,route_short_name,ja,"市バス１５",01500,,
routes,route_short_name,en,"15 City Bus",01500,,
routes,route_short_name,ja,"市バス快速１５",01595,,
routes,route_short_name,en,"快速Rapid 15 City Bus",01595,,
routes,route_short_name,ja,"市バス１６",01600,,
routes,route_short_name,en,"16 City Bus",01600,,
routes,route_short_name,ja,"市バス１８",01800,,
routes,route_short_name,en,"18 City Bus",01800,,
routes,route_short_name,ja,"市バス特１８",01803,,
routes,route_short_name,en,"特18(T18) City Bus",01803,,
routes,route_short_name,ja,"市バス竹田駅１８",01804,,
routes,route_short_name,en,"竹田駅18 City Bus",01804,,
routes,route_short_name,ja,"市バス１９",01900,,
routes,route_short_name,en,"19 City Bus",01900,,
routes,route_short_name,ja,"市バス２０（菱川→淀）",02001,,
routes,route_short_name,en,"20 City Bus",02001,,
routes,route_short_name,ja,"市バス２０（南横大路→淀）",02002,,
routes,route_short_name,en,"20 City Bus",02002,,
routes,route_short_name,ja,"市バス伏見港２０（南横大路経由）",02041,,
routes,route_short_name,en,"伏見港20 City Bus",02041,,
routes,route_short_name,ja,"市バス伏見港２０（菱川経由）",02042,,
routes,route_short_name,en,"伏見港20 City Bus",02042,,
routes,route_short_name,ja,"市バス２２",02200,,
routes,route_short_name,en,"22 City Bus",02200,,
routes,route_short_name,ja,"市バス２３",02300,,
routes,route_short_name,en,"23 City Bus",02300,,
routes,route_short_name,ja,"市バス２５",02500,,
routes,route_short_name,en,"25 City Bus",02500,,
routes,route_short_name,ja,"市バス２６",02600,,
routes,route_short_name,en,"26 City Bus",02600,,
routes,route_short_name,ja,"市バス２７",02700,,
routes,route_short_name,en,"27 City Bus",02700,,
routes,route_short_name,ja,"市バス特２７",02703,,
routes,route_short_name,en,"特27(T27) City Bus",02703,,
routes,route_short_name,ja,"市バス２８",02800,,
routes,route_short_name,en,"28 City Bus",02800,,
routes,route_short_name,ja,"市バス２９",02900,,
routes,route_short_name,en,"29 City Bus",02900,,
routes,route_short_name,ja,"市バス３１",03100,,
routes,route_short_name,en,"31 City Bus",03100,,
routes,route_short_name,ja,"市バス３２",03200,,
routes,route_short_name,en,"32 City Bus",03200,,
